No. ,Jenis Pertanyaan,Pertanyaan,Jawaban,Format
11,Persiapan dan Percobaan,Apa saja yang termasuk dalam persiapan melakukan tindak pidana?,"Yang termasuk dalam persiapan melakukan tindak pidana sebagaimana tercantum dalam pasal 15 ayat (1) UU 1/2023baru yang berbunyi ""Persiapan melakukan Tindak Pidana terjadi jika pelaku berusaha untuk mendapatkan atau menyiapkan sarana berupa alat, mengumpulkan informasi atau menyusun perencanaan tindakan, atau melakukan tindakan serupa yang dimaksudkan untuk menciptakan kondisi untuk dilakukannya suatu perbuatan yang secara langsung ditujukan bagi penyelesaian Tindak Pidana"".","'Apa saja yang termasuk dalam persiapan melakukan tindak pidana?',"
12,Persiapan dan Percobaan,Bagaimana KUHP mengatur tentang percobaan melakukan tindak pidana?,"Terkait percobaan melakukan tindak pidana diatur dalam Pasal 17 UU 1/2023 baru:
(1) Percobaan melakukan Tindak Pidana terjadi jika niat pelaku telah nyata dari adanya permulaan pelaksanaan dari Tindak Pidana yang dituju, tetapi pelaksanaannya tidak selesai, tidak mencapai hasil, atau tidak menimbulkan akibat yang dilarang, bukan karena semata-mata atas kehendaknya sendiri.
(2) Permulaan pelaksanaan sebagaimana dimaksud pada ayat (1) terjadi jika: 
      a. Perbuatan yang dilakukan itu diniatkan atau ditujukan untuk terjadinya Tindak Pidana; dan
      b. Perbuatan yang dilakukan langsung berpotensi menimbulkan Tindak Pidana yang dituju.
(3) Pidana untuk percobaan melakukan Tindak Pidana paling banyak 2/3 (dua per tiga) dari maksimum ancaman pidana pokok untuk Tindak Pidana yang bersangkutan.
(4) Percobaan melakukan Tindak Pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun.
(5) Pidana tambahan untuk percobaan melakukan Tindak Pidana sama dengan pidana tambahan untuk Tindak Pidana yang bersangkutan","'Bagaimana KUHP mengatur tentang percobaan melakukan tindak pidana?',"
13,Penyertaan,Siapa saja yang dapat dipidana sebagai pelaku tindak pidana menurut Pasal 20 KUHP?,"Dalam Pasal 20 UU 1/2023 baru menyebutkan mengenai setiap orang dipidana sebagai pelaku Tindak Pidana jika:
a. Melakukan sendiri Tindak Pidana;
b. Melakukan Tindak Pidana dengan perantaraan alat atau menyuruh orang lain yang tidak dapat dipertanggungjawabkan;
c. Turut serta melakukan Tindak Pidana; atau
d. Menggerakkan orang lain supaya melakukan Tindak Pidana dengan cara memberi atau menjanjikan sesuatu, menyalahgunakan kekuasaan atau martabat, melakukan Kekerasan, menggunakan ancaman kekerasan, melakukan penyesatan, atau dengan memberi kesempatan, sarana, atau keterangan.","'Siapa saja yang dapat dipidana sebagai pelaku tindak pidana menurut Pasal 20 KUHP?',"
14,Penyertaan,Bagaimana aturan mengenai pembantuan dalam melakukan tindak pidana?,"Pembantuan dalam melakukan tindak pidana diatur dalam Pasal 21 KUHP baru (UU 1/2023), yang berbunyi:
(1) Setiap orang dipidana sebagai pembantu tindak pidana jika dengan sengaja:
     a. memberi kesempatan, sarana, atau keterangan untuk melakukan tindak pidana; atau 
     b. memberi bantuan pada waktu tindak pidana dilakukan.
(2) Ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku untuk pembantuan melakukan Tindak Pidana yang hanya diancam dengan pidana denda paling banyak kategori II.
(3) Pidana untuk pembantuan melakukan Tindak Pidana paling banyak 213 (dua per tiga) dari maksimum ancarnan pidana pokok untuk Tindak Pidana yang bersangkutan.
(4) Pembantuan melakukan Tindak Pidana yang diancam dengan pidana mati atau pidana penjara seumur hidup, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun.
(5) Pidana tambahan untuk pembantuan melakukan Tindak Pidana sama dengan pidana tambahan untuk Tindak Pidana yang bersangkutan.

Dalam pembantuan melakukan tindak pidana, element ""sengaja"" harus ada, sehingga orang yang secara kebetulan dengan tidak mengetahui telah memberikan kesempatan, saya, upaya, atau keterangan untuk melakukan kejahatan itu tidak dihukum.","'Bagaimana aturan mengenai pembantuan dalam melakukan tindak pidana?',"
15,Pengulangan Tindak Pidana,Bagaimana KUHP ini mengatur tentang pengulangan tindak pidana?,"Pengulangan melakukan tindak pidana diatur dalam Pasal 23 UU 1/2023, yang menyatakan bahwa:
(1) Pengulangan Tindak Pidana terjadi jika Setiap Orang:
      a. Melakukan Tindak Pidana kembali dalam waktu 5 (lima) tahun setelah menjalani seluruh atau sebagian pidana pokok yang dijatuhkan atau pidana pokok yang dijatuhkan telah dihapuskan; atau
      b. Pada waktu melakukan Tindak Pidana, kewajiban menjalani pidana pokok yang dijatuhkan terdahulu belum kedaluwarsa.
(2) Tindak Pidana sebagaimana dimaksud pada ayat (1) mencakup Tindak Pidana yang diancam dengan pidana minimum khusus, pidana penjara 4 (empat) tahun atau lebih, atau pidana denda paling sedikit kategori III.
(3) Ketentuan sebagaimana dimaksud pada ayat (1) juga berlaku untuk Tindak Pidana mengenai penganiayaan.","'Bagaimana KUHP ini mengatur tentang pengulangan tindak pidana?',"
16,Sanksi Pidana,Apa saja jenis sanksi pidana yang diatur dalam KUHP?,"Jenis sanksi pidana diatur dalam Pasal 64, Pasal 65 ayat (1), Pasal 66 ayat (1), dan Pasal 67 UU 1/2023.

Pasal 64:
Pidana terdiri atas:
a. Pidana pokok;
b. Pidana tambahan; dan
c. Pidana yang bersifat khusus untuk Tindak Pidana tertentu yang ditentukan dalam Undang-Undang.

Pasal 65:
(1) Pidana pokok sebagaimana dimaksud dalam Pasal 64 huruf a terdiri atas:
      a. Pidana penjara;
      b. Pidana tutupan;
      c. Pidana pengawasan;
      d. Pidana denda; dan
      e. Pidana kerja sosial.

Pasal 66:
(1) Pidana tambahan sebagaimana dimaksud dalam Pasal 64 huruf b terdiri atas:
      a. Pencabutan hak tertentu;
      b. Perampasan Barang tertentu dan/ atau tagihan;
      c. Pengumuman putusan hakim;
      d. Pembayaran ganti nrgi;
      e. Pencabutan izin tertentu; dan
      f.  Pemenuhan kewajiban adat setempat.

Pasal 67
Pidana yang bersifat khusus sebagaimana dimaksud dalam Pasal 64 huruf c merupakan pidana mati yang selalu diancamkan secara alternatif.","'Apa saja jenis sanksi pidana yang diatur dalam KUHP?',"
17,Sanksi Pidana,Bagaimana pembebasan pelaku tindak pidana diatur jika terjadi perubahan peraturan yang menguntungkan pelaku?,"Jika terjadi perubahan peraturan, maka akan diterapkan asas retroaktif yang mengatur bahwa peraturan baru yang lebih menguntungkan pelaku tindak pidana harus diterapkan, sebagaimana diatur dalam Pasal 3 ayat (1) UU 1/2023.

Pasal 3:
(1) Dalam hal terdapat perubahan peraturan perundang undangan sesudah perbuatan terjadi, diberlakukan peraturan perundang-undangan yang baru, kecuali ketentuan peraturan perundang-undangan yang lama menguntungkan bagi pelaku dan pembantu Tindak Pidana.","'Bagaimana pembebasan pelaku tindak pidana diatur jika terjadi perubahan peraturan yang menguntungkan pelaku?',"
18,Pasal-pasal Spesifik,Apa yang diatur dalam Pasal 5 mengenai tindak pidana di luar wilayah Indonesia?,"Dalam pasal 5 UU No. 1 Tahun 2023 dalam KUHP baru mengatur tentang, ketentuan pidana dalam Undang-Undang berlaku bagi setiap orang di luar wilayah Negara Kesatuan Republik Indonesia yang melakukan Tindak Pidana terhadap kepentingan Negara Kesatuan Republik Indonesia yang berhubungan dengan:
- Keamanan negara atau proses kehidupan ketatanegaraan;
- Martabat Presiden, Wakil Presiden, dan/atau Pejabat Indonesia di luar negeri;
- Mata uang, segel, cap negara, meterai, atau surat berharga yang dikeluarkan oleh Pemerintah Indonesia, atau kartu kredit yang dikeluarkan oleh perbankan Indonesia;
- Perekonomian, perdagangan, dan perbankan Indonesia;
- Keselamatan atau keamanan pelayaran dan penerbangan;
- Keselamatan atau keamanan bangunan, peralatan, dan aset nasional atau negara Indonesia;
- keselamatan atau keamanan sistem komunikasi elektronik;
- kepentingan nasional Indonesia sebagaimana ditetapkan dalam Undang-Undang; atau
-  warga negara Indonesia berdasarkan perjanjian internasional dengan negara tempat terjadinya Tindak Pidana.","'Apa yang diatur dalam Pasal 5 mengenai tindak pidana di luar wilayah Indonesia?',"
19,Pasal-pasal Spesifik,Bagaimana Pasal 17 mengatur tentang percobaan tindak pidana?,"Dalam pasal 17 ayat (1) UU 1/2023 baru tertulis bahwa: 
Percobaan melakukan Tindak Pidana terjadi jika niat pelaku telah nyata dari adanya permulaan pelaksanaan dari Tindak Pidana yang dituju, tetapi pelaksanaannya tidak selesai, tidak mencapai hasil, atau tidak menimbulkan akibat yang dilarang, bukan karena semata-mata atas kehendaknya sendiri.","'Bagaimana Pasal 17 mengatur tentang percobaan tindak pidana?',"
20,Pasal-pasal Spesifik,Sebutkan kasus pidana yang termasuk ke dalam pidana umum,"Berikut merupakan beberapa kasus yang termasuk ke dalam tindak pidana umum:
- Pelanggaran lalu lintas.
- Sumpah palsu dan keterangan palsu.
- Senjata api.
- Kejahatan terhadap kesusilaan.
- Penghinaan.
- Penipuan.
- Pemalsuan.
- Pembunuhan.
- Kejahatan terhadap keamanan negara.
- Penggelapan.
- Kealfaan mengakibatkan kematianluka.
- Pemalsuan uang.
- Penganiayaan.
- Pemerasan dan pengancaman.
- Pencurian.
- Kehutanan.
- Jinayat.
- Kejahatan terhadap ketertiban umum.
- Kejahatan terhadap asal usul perkawinan.
- Perjudian.
- Pemerasan dan pengancaman.
- Kejahatan terhadap kemerdekaan orang lain.
- Perusakan
- Pra peradilan.
- Penadahan","'Sebutkan kasus pidana yang termasuk ke dalam pidana umum',"
21,Pasal-pasal Spesifik,Bagaimana KUHP ini mengatur tentang tindak pidana terorisme?,"Dalam KUHP baru (UU no. 1 /2023), terorisme diatur dalam Pasal 600 hingga Pasal 602.

Pasal 600:
Setiap Orang yang menggunakan Kekerasan atau Ancaman Kekerasan yang menimbulkan suasana teror atau rasa takut terhadap orErng secara meluas, menimbulkan Korban yang bersifat massal dengan cara merampas kemerdekaan atau hilangnya nyawa dan harta benda orang lain, atau mengalibatkan kerusakan atau kehancuran terhadap objek vital yang strategis, lingkungan hidup, fasilitas publik, atau fasilitas internasional, dipidana dengan pidana penjara paling singkat 5 (lima) tahun dan paling lama 20 (dua puluh) tahun, pidana penjara seumur hidup, atau pidana mati.

Pasal 601:
Setiap Orang yang menggunakan Kekerasan atau Ancaman Kekerasan bermaksud untuk menimbulkan suasana teror atau rasa takut terhadap orang secara meluas atau menimbulkan Korban yang bersifat massal dengan cara merampas kemerdekaan atau hilangnya nyawa atau harta benda orang lain, atau untuk menimbulkan kerusakan atau kehancuran terhadap objek vital yang strategis, lingkungan hidup, fasilitas publik, atau fasilitas internasional, dipidana dengan pidana penjara paling singkat 3 (tiga) tahun dan paling lama 20 (dua puluh) tahun atau pidana penjara seumur hidup.

Pasal 602
Setiap Orang yang menyediakan, mengumpulkan, memberikan, atau meminjamkan dana, baik langsung maupun tidak langsung, dengan maksud digunakan seluruhnya atau sebagian untuk melakukan Tindak Pidana terorisme, organisasi teroris, atau teroris, dipidana karena Tindak Pidana pendanaan terorisme dengan pidana penjara paling lama 15 (lima belas) tahun dan pidana denda paling banyak kategori V.","'Bagaimana KUHP ini mengatur tentang tindak pidana terorisme?',"
22,Pasal-pasal Spesifik,Bagaimana KUHP mengatur tentang tindak pidana terhadap anak?,"Tindak yang dilakukan terhadap anak diatur dalam KUHP baru (UU no. 1/2023) sebagai berikut:

Pasal 419 ayat (1) dan (2):
(1) Setiap orang yang menghubungkan atau memudahkan orang lain berbuat cabul atau bersetubuh dengan anak, dipidana penjara paling lama 7 tahun.
(2) Jika perbuatan tersebut dilakukan terhadap anak kandung, anak tiri, anak angkat, atau anak di bawah pengawasannya, pidana penjara paling lama 9 tahun.

Pasal 422 ayat (1) dan (2):
(1) Setiap orang yang menggerakkan, membawa, menempatkan, atau menyerahkan anak kepada orang lain untuk melakukan percabulan, pelacuran, atau perbuatan melanggar kesusilaan lainnya, dipidana penjara paling lama 9 tahun.
(2) Jika perbuatan tersebut dilakukan dengan menjanjikan anak memperoleh pekerjaan atau janji lainnya, pidana penjara paling lama 10 tahun.

Pasal 453:
Tindak pidana yang dilakukan dengan kekerasan atau ancaman kekerasan terhadap anak yang belum berumur 12 tahun dapat dikenakan pidana penjara lebih berat.","'Bagaimana KUHP mengatur tentang tindak pidana terhadap anak?',"
23,Pasal-pasal Spesifik,Bagaimana KUHP ini mengatur tentang tindak pidana lingkungan hidup?,"Tindak pidana mengenai lingkungan hidup diatur dalam KUHP baru (UU no. 1/2023) yang mengatur beberapa aspek berikut:

1. Penggunaan Bioteknologi Modern yang Membahayakan
     - Pasal 338 ayat (2): 
Setiap orang yang menerapkan bioteknologi modern untuk menghasilkan hewan atau produk hewan transgenik yang membahayakan kelestarian sumber daya hewan, kesehatan dan keselamatan masyarakat, dan kelestarian fungsi lingkungan hidup, dapat dikenakan pidana penjara paling lama 2 tahun atau pidana denda paling banyak kategori IV.

2. Kecerobohan yang Membahayakan Lingkungan:
     - Pasal 339:
Tindak pidana yang terkait dengan kecerobohan yang membahayakan umum termasuk tindakan yang dapat merusak lingkungan, seperti tidak menaruh tanda peringatan atau menerangi secukupnya pada lubang atau galian di jalan umum, dapat dikenakan pidana denda paling banyak kategori II.

3. Gangguan Terhadap Ketentraman Lingkungan
     - Pasal 265:
Setiap orang yang mengganggu ketenteraman lingkungan dengan membuat hingar-bingar atau berisik pada malam hari dapat dikenakan pidana denda paling banyak kategori II.","'Bagaimana KUHP ini mengatur tentang tindak pidana lingkungan hidup?',"
24,Hak Asasi Manusia,Bagaimana KUHP ini memastikan perlindungan hak asasi manusia dalam proses penegakan hukum pidana?,"Perlindungan Hak Asasi Manusia (HAM) diatur dan dilindungi melalui berbagai ketentuan peraturan. Berikut merupakan beberapa hal mengenai HAM yang diatur dalam KUHP baru (UU no. 1/2023):

1. Tindak Pidana Berat Terhadap Hak Asasi Manusia
     - Pasal 598 dan Padal 599:
Mengatur tentang genosida dan kejahatan terhadap kemanusiaan. Tindakan seperti pembunuhan, penganiayaan berat, pemindahan paksa, dan lainnya yang termasuk ke dalam kategori kejahatan berat terhadap hak asasi manusia dijatuhi sanksi berat, termasuk pidana mati, penjara seumur hidup, atau penjara paling lama 20 tahun.

2. Pembedaan, Pengecualian Pembatasan, atau Pemilihan Berdasarkan Ras dan Etnis
     - Pasal 244:
Mengatur bahwa setiap orang yang melakukan diskriminasi berdasarkan ras dan etnis yang mengurangi hak asasi manusia dan kebebasan dasar dipidana dengan penjara paling lama 1 tahun atau denda kategori III. Selain itu, Pasal 245 memberikan tambahan pidana 1/3 bagi pelaku yang melakukan tindak pidana berdasarkan diskriminasi ras dan etnis.

3. Konvensi Internasional dan Perlindungan HAM:
KUHP ini juga mengadopsi berbagai konvensi internasional terkait hak asasi manusia, seperti Konvensi Menentang Penyiksaan dan Perlakuan atau Penghukuman Lain yang Kejam, Tidak Manusiawi, atau Merendahkan Martabat Manusia. Hal ini menunjukkan komitmen KUHP untuk menyesuaikan dengan standar internasional dalam perlindungan hak asasi manusia.

4. Kewenagan Khusus Lemabaga Penegak Hukum:
KUHP menegaskan bahwa lembaga penegak hukum seperti Komisi Nasional Hak Asasi Manusia (Komnas HAM) tetap memiliki kewenangan khusus dalam menangani tindak pidana berat terhadap hak asasi manusia. Ini bertujuan untuk memastikan adanya lembaga khusus yang fokus pada perlindungan dan penegakan hak asasi manusia​.","'Bagaimana KUHP ini memastikan perlindungan hak asasi manusia dalam proses penegakan hukum pidana?',"
