JENIS KELAMIN KORBAN,USIA KORBAN,PEKERJAAN KORBAN,DAERAH TINGGAL KORBAN,TEMPAT KEJADIAN PENCURIAN,DAERAH PERISTIWA,WAKTU KEJADIAN,HARI KEJADIAN,PELAKU MENGGUNAKAN ALAT,SASARAN KEJAHATAN,JUMLAH KERUGIAN,MO,JENIS PENCURIAN,PASAL PENCURIAN
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,HALAMAN RUMAH,PEDESAAN,DINI HARI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,PEKERJA KASAR,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SORE,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PINGGIRAN KOTA,DALAM RUMAH,PERKOTAAN,PAGI,MINGGU,YA,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PEDESAAN,SIANG,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SABTU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,HALAMAN RUMAH,PERKOTAAN,SORE,SENIN,TIDAK,BENDA BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PERKOTAAN,AREA PARKIR,PEDESAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,MALAM,RABU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PINGGIRAN KOTA,HALAMAN RUMAH,PINGGIRAN KOTA,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,AREA PARKIR,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PEDESAAN,DINI HARI,RABU,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,MALAM,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PINGGIRAN KOTA,DALAM RUMAH,PINGGIRAN KOTA,PAGI,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,LANSIA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PINGGIRAN KOTA,JALAN RAYA,PERKOTAAN,MALAM,KAMIS,YA,BENDA TIDAK BERGERAK,KECIL,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,LANSIA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,SIANG,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,POLRI,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PEDESAAN,MALAM,JUMAT,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SABTU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PERKOTAAN,MALAM,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PEDESAAN,JALAN RAYA,PERKOTAAN,SIANG,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,SIANG,SELASA,YA,BENDA TIDAK BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,PAGI,KAMIS,TIDAK,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,WIRA USAHA,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,MINGGU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,JALAN RAYA,PEDESAAN,MALAM,RABU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,KAMIS,YA,BENDA TIDAK BERGERAK,BESAR,PECAH KACA,CURAT,363 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,SORE,SENIN,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,DINI HARI,KAMIS,YA,GABUNGAN,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PEDESAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PEDESAAN,HALAMAN RUMAH,PEDESAAN,SIANG,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,LANSIA,TENAGA PROFESIONAL,PERKOTAAN,JALAN RAYA,PERKOTAAN,SORE,SELASA,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,PEKERJA KASAR,PEDESAAN,DALAM RUMAH,PEDESAAN,MALAM,SABTU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,KAMIS,TIDAK,GABUNGAN,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PEDESAAN,SIANG,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PEDESAAN,SIANG,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,POLRI,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,DINI HARI,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PEDESAAN,AREA PARKIR,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,POLRI,PEDESAAN,AREA PARKIR,PERKOTAAN,SIANG,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,SORE,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SABTU,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,MINGGU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA WIRA USAHA,PINGGIRAN KOTA,DALAM RUMAH,PERKOTAAN,PAGI,MINGGU,TIDAK,BENDA TIDAK BERGERAK,KECIL,MENGAMBIL,CUBIS,362 KUHP
PEREMPUAN,REMAJA,TIDAK BEKERJA,PEDESAAN,JALAN RAYA,PERKOTAAN,PAGI,SENIN,TIDAK,BENDA TIDAK BERGERAK,BESAR,MERAMPAS,CURAS,365 KUHP
PEREMPUAN,DEWASA,TENAGA PROFESIONAL,PERKOTAAN,AREA PARKIR,PERKOTAAN,MALAM,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,KAMIS,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,KAMIS,YA,GABUNGAN,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,SORE,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,JUMAT,YA,BENDA TIDAK BERGERAK,KECIL,merusak atm,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,DINI HARI,KAMIS,YA,BENDA TIDAK BERGERAK,BESAR,MERUSAK RUMAH,CURAT,363 KUHP
PEREMPUAN,DEWASA,TENAGA WIRA USAHA,PINGGIRAN KOTA,AREA PARKIR,PERKOTAAN,MALAM,KAMIS,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SIANG,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,JUMAT,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,DALAM RUMAH,PERKOTAAN,PAGI,SABTU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PERKOTAAN,HALAMAN RUMAH,PERKOTAAN,MALAM,JUMAT,TIDAK,BENDA TIDAK BERGERAK,BESAR,MENGAMBIL,CUBIS,362 KUHP
LAKI-LAKI,REMAJA,TENAGA WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,DINI HARI,SENIN,YA,BENDA BERGERAK,BESAR,MENGANCAM,CURAS,365 KUHP
PEREMPUAN,DEWASA,TIDAK BEKERJA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,TIDAK BEKERJA,PERKOTAAN,JALAN RAYA,PERKOTAAN,MALAM,SENIN,YA,BENDA TIDAK BERGERAK,KECIL,MERAMPAS,CURAS,365 KUHP
LAKI-LAKI,DEWASA,WIRA USAHA,PEDESAAN,DALAM RUMAH,PEDESAAN,PAGI,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,SORE,SENIN,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
PEREMPUAN,DEWASA,PEKERJA KASAR,PERKOTAAN,DALAM RUMAH,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,LANSIA,TENAGA USAHA JASA,PEDESAAN,AREA PARKIR,PERKOTAAN,SORE,SELASA,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
LAKI-LAKI,REMAJA,WIRA USAHA,PERKOTAAN,AREA PARKIR,PERKOTAAN,PAGI,RABU,YA,BENDA BERGERAK,BESAR,MERUSAK KUNCI,CURAT,363 KUHP
